日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/01/02,"13,011,462","3,499,920,860",269.00,282.50,256.00,280.00,+10.50,"9,907"
107/01/03,"6,527,578","1,825,574,968",284.00,285.00,275.50,275.50,-4.50,"4,968"
107/01/04,"3,380,895","939,780,205",277.00,280.50,274.00,280.50,+5.00,"2,664"
107/01/05,"3,427,821","947,923,355",283.00,283.00,273.50,274.50,-6.00,"2,832"
107/01/08,"7,545,047","2,063,680,395",266.00,285.00,262.50,285.00,+10.50,"5,973"
107/01/09,"10,640,081","3,087,153,004",295.00,296.00,284.00,284.00,-1.00,"7,918"
107/01/10,"3,102,508","878,484,240",282.00,287.50,280.00,280.00,-4.00,"2,586"
107/01/11,"2,959,428","828,991,268",280.00,284.00,276.50,281.00,+1.00,"2,280"
107/01/12,"13,220,376","3,908,732,044",287.00,306.00,286.50,294.00,+13.00,"10,090"
107/01/15,"7,451,745","2,191,057,315",303.00,303.00,284.00,284.00,-10.00,"5,370"
107/01/16,"3,960,721","1,138,548,974",283.00,292.00,282.00,292.00,+8.00,"3,123"
107/01/17,"2,734,350","791,939,450",290.00,294.00,287.00,287.00,-5.00,"2,155"
107/01/18,"2,310,473","671,598,278",292.00,294.00,286.00,286.00,-1.00,"1,713"
107/01/19,"2,761,726","784,754,319",287.00,289.50,280.00,282.00,-4.00,"2,230"
107/01/22,"3,956,435","1,105,053,170",281.50,285.00,274.00,282.00, 0.00,"3,135"
107/01/23,"3,868,046","1,090,153,696",287.00,289.50,276.00,276.00,-6.00,"3,116"
107/01/24,"4,604,873","1,287,646,559",275.00,285.00,273.00,283.00,+7.00,"3,744"
107/01/25,"5,528,607","1,576,273,960",283.00,292.00,277.00,277.00,-6.00,"4,415"
107/01/26,"3,990,200","1,107,311,500",279.00,281.50,274.00,274.00,-3.00,"2,788"
107/01/29,"3,556,541","993,385,439",277.50,283.00,275.00,279.00,+5.00,"2,799"
107/01/30,"2,376,620","661,289,169",278.50,281.50,275.50,276.00,-3.00,"1,794"
107/01/31,"2,125,732","590,394,496",277.50,280.50,275.50,279.50,+3.50,"1,634"
107/02/01,"10,086,807","2,932,872,961",282.00,297.50,281.00,290.00,+10.50,"7,814"
107/02/02,"5,215,640","1,510,560,718",294.00,295.00,284.50,284.50,-5.50,"4,160"
107/02/05,"2,755,280","755,260,400",272.50,276.00,271.50,275.00,-9.50,"2,137"
107/02/06,"6,737,649","1,720,276,117",265.00,266.50,247.50,247.50,-27.50,"4,828"
107/02/07,"5,611,323","1,445,048,403",256.00,267.00,250.50,250.50,+3.00,"4,633"
107/02/08,"5,959,669","1,440,274,711",251.00,254.50,235.50,236.50,-14.00,"4,659"
107/02/09,"6,917,721","1,536,529,772",216.00,231.00,213.00,231.00,-5.50,"4,855"
107/02/12,"2,807,065","648,164,820",237.00,237.50,227.50,228.00,-3.00,"2,213"
107/02/21,"3,646,517","870,509,297",236.00,244.50,233.00,238.50,+10.50,"2,881"
107/02/22,"2,033,716","479,694,056",234.00,241.00,232.50,241.00,+2.50,"1,558"
107/02/23,"2,798,396","687,388,832",244.00,250.00,242.00,242.00,+1.00,"2,213"
107/02/26,"1,707,550","413,121,950",245.50,247.00,239.00,239.00,-3.00,"1,317"
107/02/27,"6,071,637","1,511,311,839",243.50,255.00,243.00,244.00,+5.00,"4,810"
107/03/01,"2,625,050","635,230,550",240.50,244.50,239.00,243.50,-0.50,"2,025"
107/03/02,"1,525,261","365,896,028",239.00,242.00,238.00,242.00,-1.50,"1,257"
107/03/05,"2,439,316","578,970,496",244.00,244.50,231.00,231.00,-11.00,"1,834"
107/03/06,"2,836,258","656,873,598",234.00,236.00,226.00,231.00, 0.00,"2,134"
107/03/07,"3,613,735","818,777,242",231.00,234.00,221.50,223.00,-8.00,"2,713"
107/03/08,"2,332,928","526,203,156",223.50,229.00,223.00,226.50,+3.50,"1,914"
107/03/09,"4,532,635","1,056,046,185",230.00,238.00,229.00,230.00,+3.50,"3,319"
107/03/12,"2,338,585","541,256,050",233.50,235.00,228.50,229.50,-0.50,"1,711"
107/03/13,"3,592,269","846,490,484",232.00,239.00,232.00,236.00,+6.50,"2,716"
107/03/14,"1,678,374","393,674,138",236.00,237.00,231.50,237.00,+1.00,"1,235"
107/03/15,"6,800,233","1,736,256,193",241.50,260.50,241.50,260.50,+23.50,"4,131"
107/03/16,"12,540,249","3,321,712,489",268.50,269.50,259.00,260.50, 0.00,"8,758"
107/03/19,"2,662,540","690,907,820",260.00,263.00,257.00,257.50,-3.00,"2,111"
107/03/20,"3,444,464","873,214,964",255.00,259.50,248.00,249.50,-8.00,"2,723"
107/03/21,"9,932,855","2,660,950,270",254.50,274.00,252.00,274.00,+24.50,"6,706"
107/03/22,"16,063,653","4,562,293,993",282.00,293.00,274.50,280.00,+6.00,"11,154"
107/03/23,"7,012,679","1,910,032,515",268.00,285.00,264.00,285.00,+5.00,"5,453"
107/03/26,"14,528,003","4,308,240,903",291.00,306.50,286.00,301.00,+16.00,"10,913"
107/03/27,"9,851,220","3,005,281,000",310.50,312.50,296.50,300.50,-0.50,"7,365"
107/03/28,"9,851,479","3,012,492,053",301.00,311.00,296.00,307.00,+6.50,"7,732"
107/03/29,"12,766,432","3,990,237,473",319.00,322.00,303.50,303.50,-3.50,"9,354"
107/03/30,"6,016,026","1,837,118,008",308.00,310.00,300.50,308.00,+4.50,"4,792"
107/03/31,"3,866,401","1,201,225,711",312.00,315.00,308.00,308.50,+0.50,"3,068"
107/04/02,"3,174,230","964,440,500",309.50,309.50,300.50,300.50,-8.00,"2,650"
107/04/03,"5,600,095","1,679,315,355",296.00,309.00,291.00,309.00,+8.50,"4,429"
107/04/09,"3,124,403","965,923,527",313.00,313.00,305.50,309.00, 0.00,"2,520"
107/04/10,"13,607,717","4,480,986,909",310.00,339.50,307.00,339.50,+30.50,"10,056"
107/04/11,"16,263,457","5,632,693,058",344.00,356.50,336.00,340.50,+1.00,"12,653"
107/04/12,"7,777,294","2,706,038,694",344.00,352.00,342.00,350.00,+9.50,"6,027"
107/04/13,"12,174,960","4,416,002,160",358.00,370.00,357.00,370.00,+20.00,"9,249"
